,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric
5,64.65,1.8832550625160678,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,6.337081227614537
6,73.85,2.0856045271613817,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,6.505442229174242
7,74.65,2.07702142959072,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,6.674151874658586
8,69.2,2.0822241976386895,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.887065255305762
9,54.0,1.8966000155882599,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.4801110594452105
10,48.55,1.8042141400246021,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.442442209265446
11,45.25,1.7209110629175686,0.9583333333333334,1905.0,0,0,0,1,0,0,0,0,0,0,5.145904394689425
0,26.2,3.569112133256573,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,24.770220899953948
1,19.1,3.719860056884004,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,13.829426455680709
2,33.3,3.793325817132814,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,11.872171319961353
3,48.05,3.9274366083662366,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,11.857156644860629
4,62.3,3.979554363607683,2.058333333333333,1983.0,0,0,0,1,0,0,0,0,0,0,14.010458759202029
