,Property Name,Year Built,Water Intensity (gal/sf)_num,GHGI/GUI,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1307,512 Beacon Street,1926.0,41.94409902780918,0.06730868799834318,1.6698342710012577,0.9322827736279911,0.8003383829857795,0.7993261990754138,0.9444866996970867,0.9775933516621529,1.0035656549816583,1.0295917420496408,0.908171388005796,0.845392373185743,0.8395813671124694,0.7938357966150139,19.33536843064673,9.748921224725688,6.524706613941291,4.350280826841057,3.1592995009870473,2.971416239774792,1.2483183615637812,5.802060751564465,4.950580731761377,5.6531853266577325,4.869785190356145,8.642076801179899,0,0,1,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1308,514-522 Park Drive,1915.0,35.50367885739018,0.06963605308106688,1.7922077804665266,1.0006049519448033,0.8589910399509536,0.857904678321585,1.0137032405792537,1.0492361076831318,1.077111786661707,1.1050451909212622,0.9747265676881335,0.9073468038609975,0.9011099392345371,0.8520119126871122,19.048551455634808,9.604307683725175,6.427920425430668,4.285749634085026,3.112435086208504,2.9273388475880116,1.2298010575051697,5.71599414675328,4.87714481068601,5.5693271100227815,4.797547774127657,8.513881968232916,0,0,1,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1312,722-728 Commonwealth Avenue,1974.0,68.45853959688576,0.06799055829228243,1.6848778229922599,0.9406817175345495,0.807548638688354,0.8065273360040212,0.9529955888835467,0.9864004989744245,1.01260678700852,1.0388673433293674,0.9163531122220644,0.8530085206919208,0.8471451632125817,0.8009874704583924,19.509560939030933,9.83674934386736,6.583487754607429,4.3894725460017865,3.1877616586535975,2.998185755448439,1.2595644729292208,5.854331569146127,4.995180558173642,5.704114924195189,4.913657129008003,8.719933348938277,0,0,1,0,0,0,0,0,0,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
1379,213-217 Bay State Road,2003.0,5.186476605941445,0.1332001332001332,1.7770195789371492,0.9921252489622202,0.8517114548666235,0.8506342996917411,1.0051125351506158,1.0403442762620885,1.0679837206730485,1.0956804011676922,0.9664661730467086,0.8996574241672602,0.8934734143257698,0.8447914727490857,3.7579030364782113,1.8947402426899689,1.2681017630776703,0.8454937689631675,0.6140219789701838,0.5775061463215609,0.24261546286217484,1.1276527672250758,0.9621643585921752,1.0987182572197094,0.9464614351402809,1.6796207824598246,0,0,0,0,0,0,0,0,1,0,26.2,19.1,33.3,48.05,62.3,64.65,73.85,74.65,69.2,54.0,48.55,45.25
25,10 Buick Street,2000.0,49.1,0.11010184420589045,1.3133581640140772,1.5479463622173923,1.4313664108727029,1.2137473815332849,1.6469121742318455,1.759245419972584,1.8048745145428136,1.8412539690069871,1.6725771543290489,1.4868174490690875,1.4862751155324652,1.4796258846777082,3.5949021499056757,4.812170584234026,3.8784632288473144,2.0783422121078403,1.8532678296493132,1.8270946594392943,1.3223637516306872,1.3471988006621025,1.9537685308688846,2.4712961975361933,3.5821893986545996,3.975942656464074,0,0,1,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
34,100 Ashford Street,2002.0,3.6,0.1157776398140846,2.6783818306266536,3.156786568163633,2.9190405883902057,2.475241729745384,3.358611355959967,3.587696865618464,3.680750033591567,3.754940054649606,3.4109509372404068,3.03212402386424,3.0310180222186647,3.0174579899312097,6.5524477300036255,8.77116953569426,7.069296053142899,3.7882056707034577,3.377961367819987,3.330255387913375,2.410279612990001,2.4555465921356494,3.561144543358501,4.504445040357357,6.529276129052151,7.246972336828743,0,1,0,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
35,100 Bay State Road,2012.0,44.0,0.1419284940411701,5.988980709376975,7.058714946527609,6.527104378417593,5.534750423176829,7.51000413426211,8.02224950661872,8.230320522321117,8.396212703885427,7.627037762194123,6.779963961715173,6.777490892922611,6.747170058581715,10.148009555503375,13.584223168021547,10.948470991913847,5.866929264995371,5.231569277812386,5.157685324838574,3.7328860224336307,3.8029926079185263,5.515271596758052,6.9761947283417625,10.112122870471893,11.223644590991038,0,0,0,0,0,0,0,1,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
52,10-18 Buswell Street,1924.0,73.5,0.058453758901440465,0.797476363238049,0.9399192613656776,0.8691314456942205,0.7369922951988396,1.0000117007418268,1.0682208996782792,1.0959270695508576,1.118016820722772,1.0155955799541354,0.9028015392682939,0.9024722321620542,0.8984347924249948,23.699395446766307,31.724238623866572,25.568772098179736,13.701472781322614,12.217669725664669,12.045123079042025,8.717684144806949,8.881409226434215,12.880220682981387,16.292022260755243,23.615586623451453,26.211405306728857,0,0,1,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
64,110-112 Cummington Street,1923.0,3.9,0.04615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7146485602467165,0.9566354343677146,0.771019083937595,0.4131640327461529,0.3684203716769286,0.3632172763970827,0.26287929735448107,0.26781638083933285,0.38839940822239805,0.49128131889730725,0.7121213289064714,0.7903975064078196,1,0,0,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
65,111 Cummington Street (664-666 Comm. Ave),1911.0,10.3,0.09480122324159022,6.895762999881234,8.127464040544114,7.515363139938565,6.372758409784589,8.647082225013063,9.236885875578597,9.476460601404947,9.667470261163853,8.781835733230556,7.806507800988948,7.803660288682019,7.7687486237895085,25.166623913918986,33.688284757964595,27.15173358666392,14.549730322399137,12.974065088745991,12.790836087275725,9.257395563760108,9.431256857557429,13.677634544939524,17.300660599322097,25.077626490260197,27.83415218719229,1,0,0,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
75,120 Ashford Street,1958.0,5.6,0.09038516609392899,3.0546613345855143,3.6002760177969932,3.32912966981825,2.822982563257891,3.8304546908273975,4.091723879807783,4.1978498664082915,4.282462667371422,3.890147335609247,3.4580999286419547,3.456838547451232,3.441373498424026,12.285798264032167,16.445887688920905,13.254885617772707,7.102861796182477,6.333656309641031,6.244207897494708,4.5192591082429425,4.604134409309293,6.677123611139022,8.44580610751703,12.242351658049959,13.588027531697751,0,0,0,0,0,0,1,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
92,140 Bay State Road,1958.0,50.0,0.08058608058608058,1.6237729388099544,1.9138065171923448,1.7696726659794177,1.500618952762732,2.0361630927400793,2.1750465211607097,2.231460141615232,2.276437951405556,2.0678940411582656,1.8382296656762969,1.837559150545919,1.8293383609534932,9.00457185910863,12.053606473033204,9.714840457613697,5.205866812601527,4.642096683129301,4.5765376826032425,3.3122791466664614,3.374486398575594,4.893832543602215,6.190144618106071,8.972728744221541,9.959008580738528,0,0,1,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
142,2 Cummington Street (23-25 Blandford Street),1905.0,30.2,0.14996767937944408,5.437179082984847,6.408352125750124,5.925722108809867,5.024799826675208,6.818061265084204,7.283110320856315,7.472010474196459,7.6226179887973915,6.924311865090556,6.155284183552448,6.153038973797698,6.125511784404877,8.504317866935926,11.383961668975802,9.175127098857379,4.916651989679219,4.38420242295545,4.322285589125284,3.128263638518324,3.1870149319880605,4.621952957846537,5.846247694877956,8.474243813987009,9.405730326253053,0,0,0,1,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
155,20-28 Cummington Street (24 Cummington St),1983.0,47.4,0.15410815488986293,13.10300409778656,15.443424408538487,14.280339103978067,12.109215406482123,16.430778411351273,17.55149553147022,18.006724142761357,18.369671702673276,16.686830681476472,14.833558477506065,14.828147768723465,14.761810267252635,19.690766753443953,26.358249710474745,21.243948128892857,11.383940376103423,10.151114840843004,10.007753556359312,7.243133501492428,7.3791653425262025,10.701598771629289,13.53631197044819,19.62113375392377,21.77788329386284,0,0,0,1,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
159,213-217 Bay State Road,2003.0,4.5,0.12190874259839778,0.8768373869573752,1.0334555192838661,0.9556232396288854,0.8103342344918751,1.0995280700796426,1.174525121426783,1.2049884764722252,1.229276493759,1.1166627822254633,0.9926440194652001,0.9922819412947961,0.9878427149148861,1.8939286305861445,2.535231075756654,2.0433191907552324,1.0949482504746506,0.9763706650010419,0.9625816620332532,0.6966705809581984,0.7097546117443612,1.029318185544466,1.301971076819233,1.8872310787296733,2.0946749915970924,0,0,0,0,0,0,0,0,1,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
163,22-24 Buswell Street,1914.0,38.7,0.07065889418830597,0.7022290761346944,0.8276591821104554,0.7653259711313584,0.6489689756753112,0.8805744284187613,0.9406370020084625,0.9650340612439899,0.9844855036598051,0.894297033384029,0.7949746476236451,0.7946846715997284,0.7911294470097573,6.224039230087172,8.33155875993174,6.714983129493422,3.5983409067322634,3.2086580370201423,3.1633430795136688,2.289476465113411,2.332474664509943,3.382660076841531,4.278682378888702,6.2020289891377445,6.883754282730256,0,0,1,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
172,25 Buick Street,1928.0,22.6,0.10812109562710236,5.26608543220288,6.206698226925615,5.739255300628313,4.8666826608299925,6.603514902844838,7.05393009434094,7.236886059274751,7.382754353571369,6.70642207737717,5.961593663801102,5.959419104861388,5.93275812334164,14.643039053522877,19.60131287551226,15.798062411560714,8.465667467271327,7.548876735603086,7.44226611379524,5.386356359824493,5.487516440877801,7.958244120721824,10.066278642464457,14.591256472166075,16.195123306679854,0,0,0,0,1,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
204,"285 Babcock, Case Center",1972.0,124.3,0.13531003647487938,9.160469343715828,10.796685615042078,9.983558549138777,8.465699596802326,11.486956793060678,12.270463746520406,12.588719598918349,12.842460647241094,11.665966045699692,10.370320933835657,10.366538241594938,10.320160888430188,16.819748622102033,22.515077233914113,18.146467922914027,9.724101547318766,8.671028507673832,8.548570058119772,6.187046256597419,6.303243934394281,9.14124896441214,11.562645958084287,16.760268482887668,18.602552511581706,0,1,0,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
214,300 Babcock Street,1986.0,3.9,0.1141604639481255,1.9683502092015732,2.3199311729186163,2.1452109953573877,1.8190619876736804,2.468252767225441,2.6366083413654624,2.7049933716670878,2.759515823171358,2.5067172701521105,2.2283163246003315,2.227503520934494,2.217538215732455,4.815411944874721,6.44595673145187,5.19524520589212,2.7839628163409236,2.4824731444163257,2.447413887944527,1.771321148543317,1.8045879766155537,2.617094966357629,3.3103291084714246,4.798383071299328,5.325819997792259,1,0,0,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
216,30-38 Cummington Street,1917.0,78.2,0.13887748168833206,8.348653167511664,9.839865205212883,9.098798825355386,7.715455082280385,10.468963392279067,11.183034643798107,11.473086128116861,11.704340218635776,10.632108544343119,9.45128567803931,9.447838214337153,9.405570900090277,14.725168664985077,19.711252363123446,15.886670297053236,8.513149549188462,7.591216738317343,7.484008160790413,5.416567257535847,5.51829472341426,8.002880175789846,10.122738203266964,14.673095646426559,16.28595822010857,0,0,0,1,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
227,33 Harry Agganis Way,2008.0,29.8,0.16185876517425923,3.036314809172986,3.578652489615729,3.309134666968872,2.8060275179474545,3.807448692247087,4.067148678854409,4.172637264808223,4.2567418749334625,3.866782818520835,3.437330320731067,3.436076515490518,3.4207043507093564,4.211478938500074,5.637526202070047,4.54367477080455,2.434807426821752,2.1711295903207306,2.1404673495985005,1.5491679207943687,1.578262533546253,2.2888675895321473,2.895158603132516,4.196585769809598,4.657873305069466,0,0,1,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
253,40-48 Buswell Street,1896.0,46.8,0.06529573881704473,1.0245234018681855,1.2075207787046938,1.116579182106061,0.9468191011479141,1.2847219513717165,1.3723507812085427,1.4079450893524679,1.436323945529696,1.3047426688260486,1.1598353842957587,1.159412321177782,1.1542253944111325,12.965374071860623,17.3555743996635,13.98806545743706,7.4957490094753965,6.683995743077201,6.589599587557842,4.769237098542643,4.858807186227435,7.046461571480967,8.912976850917685,12.919524263276251,14.339634760483404,0,0,1,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
285,512 Beacon Street,1926.0,39.4,0.0676132521974307,0.8544138558976189,1.0070267626178768,0.9311849028129794,0.7896114013346757,1.071409627370375,1.1444887647059925,1.1741730745165866,1.1978399696681616,1.088106150228516,0.9672589431296705,0.9669061244539241,0.9625804232636238,8.943551866656794,11.971924524406422,9.649007289677487,5.170588960574739,4.610639251393809,4.545524515157029,3.289833298969271,3.351618999903928,4.8606692095155335,6.1481967516463785,8.91192453844568,9.891520793652937,0,0,1,0,0,0,0,0,0,0,32.6,34.05,42.55,47.1,58.6,68.4,76.05,76.4,67.5,55.3,46.2,35.35
